Category,Artist,Title,Year,Image URL,Painting Info URL,file name,path
Impressionism,Charles Courtney Curran,In the Luxembourg Garden,1889,https://use2-uploads3.wikiart.org/00123/images/charles-courtney-curran/in-the-luxembourg-garden-1889.jpg,https://www.wikiart.org/en/charles-courtney-curran/in-the-luxembourg-garden-1889,in-the-luxembourg-garden-1889.jpg,/impressionism/in-the-luxembourg-garden-1889.jpg
Neo-Expressionism,Keith Haring,The Marriage of Heaven and Hell,1984,https://use2-uploads1.wikiart.org/images/keith-haring/the-marriage-of-heaven-and-hell-1984.jpg,https://www.wikiart.org/en/keith-haring/the-marriage-of-heaven-and-hell-1984,the-marriage-of-heaven-and-hell-1984.jpg,/neo_expressionism/the-marriage-of-heaven-and-hell-1984.jpg
Post-Impressionism,Jozsef Rippl-Ronai,Uncle Piacsek in front of the Black Sideboard,1906,https://use2-uploads3.wikiart.org/images/j-zsef-rippl-r-nai/uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg,https://www.wikiart.org/en/jozsef-rippl-ronai/uncle-piacsek-in-front-of-the-black-sideboard-1906,uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg,/post_impressionism/uncle-piacsek-in-front-of-the-black-sideboard-1906.jpg
Cubism,Vadym Meller,Monk. For the Play &#39;Mazeppa&#39;,1920,https://use2-uploads2.wikiart.org/00124/images/vadym-meller/monk-for-the-play-mazeppa-1920.jpg,https://www.wikiart.org/en/vadym-meller/monk-for-the-play-mazeppa-1920,monk-for-the-play-mazeppa-1920.jpg,/cubism/monk-for-the-play-mazeppa-1920.jpg
Romanticism,David Wilkie,The Defence of Sarago&#231;a,1828,https://use2-uploads6.wikiart.org/images/david-wilkie/the-defence-of-sarago-a.jpg,https://www.wikiart.org/en/david-wilkie/the-defence-of-sarago-a,the-defence-of-sarago-a.jpg,/romanticism/the-defence-of-sarago-a.jpg
Expressionism,Lyonel Feininger,"In a Village Near Paris (Street in Paris, Pink Sky)",1909,https://use2-uploads4.wikiart.org/images/lyonel-feininger/in-a-village-near-paris-street-in-paris-pink-sky-1909.jpg,https://www.wikiart.org/en/lyonel-feininger/in-a-village-near-paris-street-in-paris-pink-sky-1909,in-a-village-near-paris-street-in-paris-pink-sky-1909.jpg,/expressionism/in-a-village-near-paris-street-in-paris-pink-sky-1909.jpg
Realism,Nikolai Ge,Last Supper,1863,https://use2-uploads1.wikiart.org/images/nikolai-ge/last-supper.jpg,https://www.wikiart.org/en/nikolai-ge/last-supper,last-supper.jpg,/realism/last-supper.jpg
Realism,Charles-Francois Daubigny,Spring,1857,https://use2-uploads7.wikiart.org/images/charles-francois-daubigny/spring-1857.jpg,https://www.wikiart.org/en/charles-francois-daubigny/spring-1857,spring-1857.jpg,/realism/spring-1857.jpg
Minimalism,Robert Smithson,Mirror and Crushed Shells,1969,https://use2-uploads7.wikiart.org/images/robert-smithson/mirror-and-crushed-shells-1969.jpg,https://www.wikiart.org/en/robert-smithson/mirror-and-crushed-shells-1969,mirror-and-crushed-shells-1969.jpg,/minimalism/mirror-and-crushed-shells-1969.jpg
Minimalism,Richard Serra,One Ton Prop (House of Cards),1969,https://use2-uploads7.wikiart.org/images/richard-serra/one-ton-prop-house-of-cards-1969.jpg,https://www.wikiart.org/en/richard-serra/one-ton-prop-house-of-cards-1969,one-ton-prop-house-of-cards-1969.jpg,/minimalism/one-ton-prop-house-of-cards-1969.jpg
